sound.files,selec,log(duration),log(meanfreq),log(sd),log(freq.median),log(freq.Q25),log(freq.Q75),sqrt(time.median),cubroot(time.Q25),log(time.Q75),log(skew),(sp.ent)^2,(time.ent)^2,sqrt(sfm),log(meandom),log10(mindom),log(maxdom),log(modindx),log(startdom),log(enddom),dfslope2,log(meanpeakf)
YN_16Jun19_OppKallangRiversidePark_02.wav,91,0.837912926,-2.199614862,-0.195332611,-1.940789947,-1.915772634,-1.527763474,0.870502972,0.747771352,0.745856079,-1.626625146,0.187883973,1.179273694,-0.59662407,-1.327040166,-1.850438815,-0.586691118,0.621877518,-0.159591435,-0.375342636,-0.09286775,-0.271360459
YN_16Jun19_OppKallangRiversidePark_02.wav,53,0.449422626,-2.193326431,-0.385983748,-1.920264972,-1.661437652,-1.897919743,0.506037512,0.749370901,0.474635388,-1.239487712,-0.038877377,1.08067278,-0.687011057,-1.51267566,-1.850438815,-0.748000402,-0.983289693,-0.159591435,-2.392290987,-1.139968155,-0.271360459
hzb_200419_gbtbeast_BreakRushAgain.wav,11,0.435019243,-2.190620475,-0.824693673,-1.632346608,-1.820524393,-1.640429914,0.49184072,0.381984724,0.459459598,-1.252165894,-0.086315571,1.130046585,-1.082260216,-1.700846235,-1.850438815,-0.78917858,-0.384457004,-0.886352123,-2.392290987,-0.703743076,-1.043888741
L1040068.wav,58,-0.074540548,-2.18971764,1.204696496,-2.83030458,-2.070349032,-2.95254332,0.343642628,0.50483045,0.064488475,0.551604175,-1.207546636,0.522249843,-0.354189064,-2.395297014,-1.30039387,-2.626759252,-0.983289693,-2.08971692,-1.517355356,0.299629326,-2.037937707
IL 25 jun B10 2.wav,5,-1.262561557,-2.188393363,-0.389477246,-2.015790228,-1.259846833,-2.647916673,-0.990248569,-2.108215571,-0.812214517,0.90665347,-2.239589344,-2.066813073,-1.044645531,-1.600335678,-0.686596245,-2.004410363,-0.983289693,-1.234931593,-1.188130683,-0.106802942,-1.414893514
hzb_200419_gbtbeast_BreakRushAgain.wav,7,0.20780098,-2.179772403,-1.04573777,-1.70766498,-1.601466506,-1.621032315,0.088681358,-0.130820876,0.14524562,-1.294583905,-0.162118564,0.96653606,-1.197131021,-1.497012379,-1.733904326,-0.748000402,-0.0755714,-0.159591435,-0.842694456,-0.488922406,-0.271360459
ML 19 dec 18 BS 5.wav,1,-0.897806455,-2.178815071,-1.064983961,-1.870321899,-1.120196399,-2.545174284,-1.23457924,-2.108215571,-0.427901184,1.624574072,-2.496407381,-1.138462627,-1.622871129,-1.491001221,-0.557947839,-1.95159467,0.436328217,-1.280632414,-1.05502565,0.116974951,-1.366762494
sl_02Feb2019_gbtb_OtterCallsOthersSwimPastMonitorLizard.wav,6,-1.021416569,-2.175015741,0.182664906,-2.312312481,-1.552188621,-2.851865838,-1.300487113,0.114763657,-1.392182794,0.863697224,-2.287252388,-1.198495261,-0.879126351,-1.855547821,-0.911143831,-2.221608352,-0.294169075,-1.420827698,-1.325879841,-0.031357138,-1.715346082
AK 23 june 2017 B11 7.wav,9,-0.490317202,-2.16682489,0.448878108,-2.117725052,-1.721095033,-2.63728316,-0.199808851,-0.05531802,-0.457559983,0.526821535,-0.851129303,0.044196434,-0.566571987,-2.003235887,-1.733904326,-2.11179586,-0.439109491,-1.665529623,-2.27171952,-0.485708694,-1.512772007
sl_20Apr2019_flyer_OldestDaughterRolling-3.wav,26,-1.25935586,-2.159685506,0.329603879,-2.210552446,-2.016813438,-1.75629361,-0.988310652,-2.108215571,-0.808836798,-0.801026176,0.004089082,-2.059083055,-0.014556657,-2.003235887,-1.100808103,-2.277459495,-0.15286645,-1.468629752,-1.420457027,-0.106435797,-2.094090968
